job_title,company,industry,location,required_skills,experience_level,salary_range,job_description,posting_date,demand_label,Certificates,skill_count,salary_avg
data scientist,Company_120,manufacturing,pune,"Python, SQL, Machine Learning",junior,9-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-20,Low,Certified Data Scientist,3,9.0
business analyst,Company_456,automobile,kolkata,"Linux, Networking, Security",senior,9-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-25,Low,None,3,9.0
software developer,Company_164,finance,remote,"Python, Deep Learning, NLP",senior,9-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-26,Low,None,3,9.0
frontend developer,Company_458,telecom,delhi,"Linux, Networking, Security",senior,6-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-17,Low,None,3,6.0
frontend developer,Company_431,automobile,bangalore,"JavaScript, React, HTML, CSS",junior,6-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-11,Low,None,4,6.0
cyber security analyst,Company_216,e-commerce,mumbai,"Linux, Networking, Security",senior,8-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-01,Medium,Cybersecurity Essentials,3,8.0
business analyst,Company_121,e-commerce,chennai,"AWS, Docker, Kubernetes",junior,6-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-06,Medium,None,3,6.0
software developer,Company_441,finance,chennai,"Java, Spring, Microservices",mid,4-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-07,Low,None,3,4.0
data scientist,Company_304,automobile,remote,"Linux, Networking, Security",senior,10-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-17,High,Certified Data Scientist,3,10.0
data analyst,Company_413,automobile,delhi,"Python, Data Analysis, Statistics",junior,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-02,High,Google Data Analytics Certificate,3,10.0
ml engineer,Company_279,automobile,kolkata,"Java, Spring, Microservices",junior,8-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-21,Low,None,3,8.0
cloud engineer,Company_359,e-commerce,chennai,"Linux, Networking, Security",mid,4-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-25,Medium,AWS Certified Solutions Architect,3,4.0
devops engineer,Company_99,e-commerce,bangalore,"Linux, Networking, Security",junior,4-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-19,Low,None,3,4.0
frontend developer,Company_432,healthcare,delhi,"AWS, Docker, Kubernetes",mid,10-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-23,Low,None,3,10.0
backend developer,Company_453,finance,pune,"Power BI, Excel, SQL",senior,6-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-21,Low,None,3,6.0
product manager,Company_207,healthcare,delhi,"Linux, Networking, Security",mid,8-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-25,Low,None,3,8.0
software developer,Company_326,education,delhi,"AWS, Docker, Kubernetes",junior,7-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-29,Medium,None,3,7.0
product manager,Company_322,telecom,remote,"JavaScript, React, HTML, CSS",fresher,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-04,Low,None,4,10.0
ml engineer,Company_95,e-commerce,delhi,"Python, Data Analysis, Statistics",senior,8-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-24,Low,None,3,8.0
business analyst,Company_350,it,hyderabad,"Python, Deep Learning, NLP",fresher,3-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-23,Medium,None,3,3.0
ai engineer,Company_485,telecom,hyderabad,"Java, Spring, Microservices",fresher,8-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-12,Low,None,3,8.0
cyber security analyst,Company_304,education,bangalore,"AWS, Docker, Kubernetes",senior,8-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-25,Medium,Cybersecurity Essentials,3,8.0
cyber security analyst,Company_434,e-commerce,kolkata,"Power BI, Excel, SQL",fresher,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-16,Medium,Cybersecurity Essentials,3,6.0
devops engineer,Company_369,telecom,chennai,"Linux, Networking, Security",fresher,4-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-01,High,None,3,4.0
data analyst,Company_400,telecom,bangalore,"AWS, Docker, Kubernetes",senior,9-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-01,Medium,Google Data Analytics Certificate,3,9.0
cloud engineer,Company_3,education,hyderabad,"Power BI, Excel, SQL",fresher,5-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-24,High,AWS Certified Solutions Architect,3,5.0
devops engineer,Company_253,education,hyderabad,"Python, SQL, Machine Learning",senior,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-01,Low,None,3,10.0
ai engineer,Company_257,automobile,delhi,"Python, Deep Learning, NLP",fresher,7-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-18,High,None,3,7.0
frontend developer,Company_115,telecom,hyderabad,"Power BI, Excel, SQL",senior,7-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-06,High,None,3,7.0
cyber security analyst,Company_385,it,delhi,"Python, Deep Learning, NLP",senior,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-27,Low,Cybersecurity Essentials,3,5.0
ml engineer,Company_263,telecom,chennai,"Python, SQL, Machine Learning",mid,10-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-03,Low,None,3,10.0
cyber security analyst,Company_68,telecom,kolkata,"Power BI, Excel, SQL",fresher,6-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-17,Medium,Cybersecurity Essentials,3,6.0
cloud engineer,Company_34,education,mumbai,"Java, Spring, Microservices",senior,5-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-11,Low,AWS Certified Solutions Architect,3,5.0
cyber security analyst,Company_275,e-commerce,kolkata,"Python, Deep Learning, NLP",junior,10-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-22,High,Cybersecurity Essentials,3,10.0
data analyst,Company_171,it,mumbai,"Linux, Networking, Security",junior,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-03,Medium,Google Data Analytics Certificate,3,9.0
ai engineer,Company_164,telecom,chennai,"Power BI, Excel, SQL",fresher,7-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-09,Medium,None,3,7.0
product manager,Company_259,automobile,mumbai,"JavaScript, React, HTML, CSS",junior,10-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-14,Low,None,4,10.0
software developer,Company_121,it,remote,"Java, Spring, Microservices",mid,5-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-26,Medium,None,3,5.0
data analyst,Company_185,it,chennai,"Java, Spring, Microservices",fresher,4-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-20,Low,Google Data Analytics Certificate,3,4.0
frontend developer,Company_16,it,mumbai,"JavaScript, React, HTML, CSS",mid,8-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-07,Low,None,4,8.0
data analyst,Company_300,e-commerce,mumbai,"Power BI, Excel, SQL",fresher,4-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-28,Medium,Google Data Analytics Certificate,3,4.0
data analyst,Company_140,manufacturing,delhi,"Linux, Networking, Security",junior,8-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-06,Low,Google Data Analytics Certificate,3,8.0
frontend developer,Company_318,e-commerce,hyderabad,"Linux, Networking, Security",senior,8-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-12,Medium,None,3,8.0
cyber security analyst,Company_481,manufacturing,mumbai,"Linux, Networking, Security",senior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-15,High,Cybersecurity Essentials,3,3.0
devops engineer,Company_403,manufacturing,pune,"JavaScript, React, HTML, CSS",senior,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-19,Medium,None,4,4.0
devops engineer,Company_238,telecom,chennai,"Power BI, Excel, SQL",senior,3-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-04,Medium,None,3,3.0
backend developer,Company_30,it,chennai,"Python, Deep Learning, NLP",fresher,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-05,High,None,3,10.0
business analyst,Company_227,e-commerce,hyderabad,"Linux, Networking, Security",senior,9-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-08,High,None,3,9.0
backend developer,Company_396,healthcare,mumbai,"Java, Spring, Microservices",fresher,8-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-18,Low,None,3,8.0
data analyst,Company_238,automobile,hyderabad,"Power BI, Excel, SQL",mid,9-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-23,Medium,Google Data Analytics Certificate,3,9.0
backend developer,Company_190,finance,mumbai,"Linux, Networking, Security",mid,3-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-05,High,None,3,3.0
frontend developer,Company_70,manufacturing,delhi,"AWS, Docker, Kubernetes",mid,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-27,Medium,None,3,5.0
cloud engineer,Company_315,it,mumbai,"Python, Data Analysis, Statistics",junior,8-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-06,Low,AWS Certified Solutions Architect,3,8.0
cloud engineer,Company_80,manufacturing,chennai,"Power BI, Excel, SQL",fresher,7-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-19,High,AWS Certified Solutions Architect,3,7.0
business analyst,Company_15,automobile,delhi,"Python, SQL, Machine Learning",senior,9-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-25,Low,None,3,9.0
ml engineer,Company_174,e-commerce,hyderabad,"Python, SQL, Machine Learning",senior,6-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-28,Low,None,3,6.0
data scientist,Company_178,it,delhi,"Java, Spring, Microservices",junior,7-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-13,High,Certified Data Scientist,3,7.0
product manager,Company_112,education,mumbai,"Python, SQL, Machine Learning",junior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-08,Low,None,3,3.0
data scientist,Company_84,education,hyderabad,"Linux, Networking, Security",senior,7-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-29,High,Certified Data Scientist,3,7.0
cloud engineer,Company_443,healthcare,mumbai,"Python, SQL, Machine Learning",fresher,8-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-20,High,AWS Certified Solutions Architect,3,8.0
cloud engineer,Company_314,e-commerce,kolkata,"JavaScript, React, HTML, CSS",senior,3-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-04,Low,AWS Certified Solutions Architect,4,3.0
devops engineer,Company_109,telecom,mumbai,"Python, Data Analysis, Statistics",fresher,3-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-10,Medium,None,3,3.0
software developer,Company_414,finance,kolkata,"Power BI, Excel, SQL",mid,4-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-12,Medium,None,3,4.0
devops engineer,Company_34,automobile,mumbai,"Power BI, Excel, SQL",mid,7-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-03,High,None,3,7.0
data analyst,Company_423,manufacturing,hyderabad,"Python, Data Analysis, Statistics",fresher,3-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-04,High,Google Data Analytics Certificate,3,3.0
software developer,Company_191,e-commerce,kolkata,"Java, Spring, Microservices",senior,8-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-19,Low,None,3,8.0
devops engineer,Company_463,e-commerce,remote,"Java, Spring, Microservices",mid,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-05,Low,None,3,10.0
data scientist,Company_342,education,kolkata,"Python, Deep Learning, NLP",senior,6-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-11,High,Certified Data Scientist,3,6.0
cyber security analyst,Company_488,telecom,mumbai,"Java, Spring, Microservices",mid,4-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-13,Medium,Cybersecurity Essentials,3,4.0
cyber security analyst,Company_394,finance,kolkata,"Python, Deep Learning, NLP",senior,3-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-24,High,Cybersecurity Essentials,3,3.0
data analyst,Company_293,education,mumbai,"Python, SQL, Machine Learning",junior,6-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-24,Medium,Google Data Analytics Certificate,3,6.0
business analyst,Company_11,manufacturing,remote,"Java, Spring, Microservices",senior,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-20,Low,None,3,6.0
software developer,Company_201,healthcare,bangalore,"Java, Spring, Microservices",mid,6-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-19,Medium,None,3,6.0
cyber security analyst,Company_163,finance,chennai,"Power BI, Excel, SQL",senior,6-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-21,Low,Cybersecurity Essentials,3,6.0
cloud engineer,Company_345,automobile,delhi,"Python, SQL, Machine Learning",junior,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-18,High,AWS Certified Solutions Architect,3,9.0
business analyst,Company_316,automobile,delhi,"Linux, Networking, Security",senior,10-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-24,Low,None,3,10.0
data analyst,Company_282,e-commerce,bangalore,"Python, SQL, Machine Learning",fresher,10-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-03,High,Google Data Analytics Certificate,3,10.0
ai engineer,Company_309,e-commerce,bangalore,"JavaScript, React, HTML, CSS",mid,7-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-15,Medium,None,4,7.0
backend developer,Company_456,e-commerce,chennai,"JavaScript, React, HTML, CSS",fresher,10-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-29,Medium,None,4,10.0
devops engineer,Company_231,healthcare,pune,"Python, Data Analysis, Statistics",mid,6-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-21,Medium,None,3,6.0
ml engineer,Company_54,finance,hyderabad,"Linux, Networking, Security",fresher,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-26,Medium,None,3,10.0
cyber security analyst,Company_370,healthcare,bangalore,"Power BI, Excel, SQL",senior,6-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-20,Medium,Cybersecurity Essentials,3,6.0
devops engineer,Company_180,e-commerce,pune,"Power BI, Excel, SQL",junior,6-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-11,High,None,3,6.0
business analyst,Company_140,telecom,remote,"Python, Deep Learning, NLP",junior,7-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-25,High,None,3,7.0
devops engineer,Company_20,manufacturing,bangalore,"Python, Deep Learning, NLP",mid,5-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-19,Medium,None,3,5.0
cyber security analyst,Company_70,education,pune,"JavaScript, React, HTML, CSS",mid,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-23,Medium,Cybersecurity Essentials,4,5.0
business analyst,Company_147,finance,hyderabad,"Python, Deep Learning, NLP",mid,7-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-31,High,None,3,7.0
data analyst,Company_244,automobile,mumbai,"AWS, Docker, Kubernetes",senior,8-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-23,Low,Google Data Analytics Certificate,3,8.0
frontend developer,Company_68,it,delhi,"Linux, Networking, Security",junior,7-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-20,Low,None,3,7.0
backend developer,Company_240,it,kolkata,"AWS, Docker, Kubernetes",senior,5-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-31,High,None,3,5.0
ml engineer,Company_213,finance,hyderabad,"JavaScript, React, HTML, CSS",senior,7-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-04,Medium,None,4,7.0
devops engineer,Company_333,education,bangalore,"Java, Spring, Microservices",junior,6-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-24,Medium,None,3,6.0
business analyst,Company_130,manufacturing,hyderabad,"JavaScript, React, HTML, CSS",fresher,4-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-23,Medium,None,4,4.0
backend developer,Company_222,education,kolkata,"Java, Spring, Microservices",junior,4-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-13,Medium,None,3,4.0
ml engineer,Company_185,e-commerce,pune,"JavaScript, React, HTML, CSS",junior,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-03,High,None,4,4.0
cloud engineer,Company_334,manufacturing,chennai,"Java, Spring, Microservices",senior,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-20,Low,AWS Certified Solutions Architect,3,5.0
data scientist,Company_456,it,hyderabad,"Power BI, Excel, SQL",senior,3-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-16,Low,Certified Data Scientist,3,3.0
frontend developer,Company_259,finance,pune,"Python, Deep Learning, NLP",senior,5-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-13,High,None,3,5.0
devops engineer,Company_384,healthcare,chennai,"JavaScript, React, HTML, CSS",junior,8-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-09,High,None,4,8.0
frontend developer,Company_342,finance,delhi,"JavaScript, React, HTML, CSS",mid,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-06,Low,None,4,5.0
ml engineer,Company_386,healthcare,mumbai,"Python, Deep Learning, NLP",junior,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-22,Low,None,3,6.0
product manager,Company_143,e-commerce,mumbai,"Python, Data Analysis, Statistics",mid,10-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-02,Low,None,3,10.0
software developer,Company_157,automobile,bangalore,"Java, Spring, Microservices",fresher,3-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-05,Medium,None,3,3.0
cloud engineer,Company_34,healthcare,hyderabad,"AWS, Docker, Kubernetes",fresher,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-13,High,AWS Certified Solutions Architect,3,10.0
software developer,Company_377,e-commerce,kolkata,"AWS, Docker, Kubernetes",fresher,9-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-29,Low,None,3,9.0
cloud engineer,Company_459,manufacturing,mumbai,"Power BI, Excel, SQL",junior,9-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-12,High,AWS Certified Solutions Architect,3,9.0
backend developer,Company_392,education,remote,"Python, Data Analysis, Statistics",junior,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-15,Low,None,3,10.0
data scientist,Company_165,it,mumbai,"Linux, Networking, Security",fresher,4-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-23,Medium,Certified Data Scientist,3,4.0
cyber security analyst,Company_367,healthcare,delhi,"AWS, Docker, Kubernetes",fresher,4-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-13,Low,Cybersecurity Essentials,3,4.0
software developer,Company_246,it,pune,"Java, Spring, Microservices",fresher,8-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-20,Medium,None,3,8.0
frontend developer,Company_123,healthcare,pune,"Python, Deep Learning, NLP",senior,3-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-25,Low,None,3,3.0
data analyst,Company_57,manufacturing,hyderabad,"Linux, Networking, Security",fresher,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-30,Low,Google Data Analytics Certificate,3,9.0
data analyst,Company_159,it,kolkata,"Java, Spring, Microservices",senior,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-11,High,Google Data Analytics Certificate,3,10.0
backend developer,Company_341,healthcare,chennai,"Python, Deep Learning, NLP",mid,7-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-13,Low,None,3,7.0
cloud engineer,Company_233,automobile,mumbai,"Java, Spring, Microservices",senior,5-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-15,Medium,AWS Certified Solutions Architect,3,5.0
business analyst,Company_201,manufacturing,mumbai,"Java, Spring, Microservices",mid,6-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-24,High,None,3,6.0
product manager,Company_457,healthcare,mumbai,"JavaScript, React, HTML, CSS",junior,8-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-14,Medium,None,4,8.0
ml engineer,Company_419,automobile,delhi,"Linux, Networking, Security",mid,5-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-06,Low,None,3,5.0
cyber security analyst,Company_444,telecom,chennai,"Power BI, Excel, SQL",mid,10-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-13,Medium,Cybersecurity Essentials,3,10.0
cyber security analyst,Company_196,manufacturing,remote,"Power BI, Excel, SQL",senior,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-25,High,Cybersecurity Essentials,3,10.0
ai engineer,Company_7,automobile,mumbai,"Java, Spring, Microservices",mid,4-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-25,Medium,None,3,4.0
cloud engineer,Company_461,manufacturing,delhi,"AWS, Docker, Kubernetes",senior,7-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-26,Medium,AWS Certified Solutions Architect,3,7.0
product manager,Company_310,automobile,bangalore,"AWS, Docker, Kubernetes",junior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-05,Medium,None,3,3.0
data scientist,Company_87,healthcare,hyderabad,"Java, Spring, Microservices",senior,8-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-06,Low,Certified Data Scientist,3,8.0
cyber security analyst,Company_208,e-commerce,kolkata,"Java, Spring, Microservices",fresher,5-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-22,Medium,Cybersecurity Essentials,3,5.0
data scientist,Company_3,automobile,kolkata,"Power BI, Excel, SQL",junior,10-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-05,High,Certified Data Scientist,3,10.0
software developer,Company_442,e-commerce,pune,"Java, Spring, Microservices",mid,10-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-16,Medium,None,3,10.0
ai engineer,Company_471,finance,delhi,"Python, Data Analysis, Statistics",fresher,8-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-14,Medium,None,3,8.0
software developer,Company_414,e-commerce,hyderabad,"Linux, Networking, Security",fresher,6-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-14,Medium,None,3,6.0
devops engineer,Company_275,e-commerce,pune,"Python, Data Analysis, Statistics",fresher,8-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-21,Low,None,3,8.0
cyber security analyst,Company_3,it,bangalore,"Python, Deep Learning, NLP",fresher,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-06,High,Cybersecurity Essentials,3,10.0
ml engineer,Company_212,finance,kolkata,"Python, Data Analysis, Statistics",fresher,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-02,High,None,3,5.0
backend developer,Company_22,healthcare,delhi,"Java, Spring, Microservices",junior,7-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-01,Low,None,3,7.0
